[15:09:58.713][4001.79, 4057.73, 4593.4, 4365.08, 3900.49, 3756.07][4075, 4079, 4024, 4072, 4072, 4067, 4071, 3923, 1965, 2769, 4085, 3915, 2164, 2429, 3315, 3840]
[15:09:59.230][4001.91, 4056.51, 4588.42, 4379.5, 3891.73, 3745.01][4077, 4077, 4015, 4078, 4075, 4073, 4075, 3925, 1941, 2771, 4086, 3861, 2145, 2383, 3319, 3840]
[15:09:59.780][4001.16, 4055.17, 4612.83, 4375.12, 3896.29, 3763.55][4077, 4075, 4012, 4073, 4073, 4073, 4073, 3932, 1949, 2767, 4083, 3853, 2126, 2326, 3320, 3840]
[15:10:00.306][3999.41, 4059.1, 4610.32, 4369.16, 3880.64, 3753.18][4075, 4075, 4012, 4078, 4076, 4075, 4074, 3963, 1983, 2735, 4088, 3871, 2104, 2335, 3317, 3840]
[15:10:00.846][3989.81, 4070.84, 4601.29, 4372.35, 3897.75, 3755.33][4076, 4075, 4015, 4074, 4079, 4074, 4074, 3947, 1967, 2712, 4087, 3860, 2105, 2339, 3315, 3840]
[15:10:01.385][4003.46, 4047.24, 4580.94, 4372.56, 3905.2, 3769.9][4077, 4079, 3988, 4073, 4074, 4073, 4074, 3944, 1967, 2735, 4086, 3900, 2111, 2373, 3319, 3840]
[15:10:01.936][4001.49, 4049.8, 4587.47, 4355.39, 3914.11, 3780.84][4076, 4079, 3987, 4071, 4067, 4074, 4073, 3938, 2013, 2771, 4086, 3911, 2102, 2380, 3317, 3840]
[15:10:02.492][3994.1, 4056.75, 4592.74, 4368.18, 3895.99, 3763.28][4075, 4076, 3991, 4077, 4077, 4071, 4075, 3941, 2015, 2773, 4085, 3923, 2106, 2362, 3320, 3840]
[15:10:03.009][3997.92, 4059.85, 4600.07, 4365.89, 3902.13, 3759.74][4075, 4078, 3988, 4073, 4075, 4072, 4072, 3933, 1996, 2769, 4085, 3883, 2117, 2367, 3319, 3840]
[15:10:03.543][3998.04, 4059.82, 4605.26, 4361.56, 3881.72, 3756.76][4077, 4077, 3987, 4073, 4078, 4073, 4078, 3937, 1975, 2733, 4085, 3851, 2136, 2345, 3315, 3840]
[15:10:04.100][3998.69, 4056.09, 4587.76, 4372.98, 3890.93, 3769.06][4075, 4079, 3980, 4073, 4077, 4073, 4073, 3946, 2023, 2751, 4088, 3847, 2089, 2357, 3319, 3840]
[15:10:04.644][4003.28, 4062.44, 4599.65, 4371.37, 3890.33, 3748.62][4074, 4073, 3987, 4076, 4075, 4072, 4075, 3941, 1991, 2745, 4087, 3847, 2089, 2376, 3317, 3840]
[15:10:05.186][4003.97, 4059.07, 4597.69, 4365.23, 3910.3, 3753.24][4077, 4072, 3992, 4075, 4075, 4070, 4075, 3938, 1941, 2747, 4091, 3884, 2099, 2373, 3320, 3840]
[15:10:05.713][3998.84, 4056.03, 4587.76, 4355.48, 3901.74, 3760.84][4075, 4073, 3983, 4074, 4075, 4071, 4076, 3935, 1947, 2759, 4085, 3871, 2091, 2364, 3316, 3840]
[15:10:06.252][4002.21, 4052.99, 4585.38, 4365.14, 3905.44, 3757.98][4076, 4075, 3987, 4074, 4075, 4072, 4077, 3942, 1973, 2749, 4087, 3883, 2093, 2355, 3316, 3840]
[15:10:06.808][3996.72, 4051.5, 4594.98, 4364.99, 3903.14, 3762.72][4075, 4079, 3992, 4074, 4079, 4073, 4073, 3932, 1982, 2757, 4085, 3883, 2111, 2345, 3317, 3840]
[15:10:07.343][4005.04, 4049.41, 4600.25, 4378.37, 3911.16, 3763.04][4079, 4079, 4005, 4072, 4076, 4072, 4072, 3940, 1927, 2740, 4087, 3849, 2136, 2343, 3319, 3840]
[15:10:07.880][3999.35, 4056.39, 4599.6, 4384.24, 3892.86, 3773.36][4077, 4071, 3991, 4068, 4077, 4077, 4076, 3924, 1972, 2740, 4089, 4087, 1832, 2354, 3319, 3840]
[15:10:08.422][4007.57, 4060.53, 4601.5, 4376.55, 3889.67, 3760.39][4076, 4076, 3966, 4075, 4077, 4072, 4076, 3928, 1945, 2741, 4087, 3871, 2095, 2357, 3317, 3840]
[15:10:08.979][3996.49, 4054.6, 4597.87, 4369.94, 3905.14, 3763.46][4076, 4074, 3965, 4075, 4073, 4073, 4076, 3929, 1971, 2746, 4086, 3851, 2103, 2336, 3319, 3840]
[15:10:09.503][3980.0, 4062.74, 4580.88, 4360.73, 3907.59, 3767.69][4084, 4079, 3967, 4075, 4074, 4075, 4077, 3922, 1977, 2747, 4088, 3869, 2107, 2344, 3320, 3840]
[15:10:10.039][4008.97, 4057.25, 4586.45, 4363.68, 3904.43, 3772.97][4075, 4068, 3976, 4055, 4075, 4070, 4075, 3924, 1955, 2749, 4085, 3882, 2091, 2327, 3318, 3840]
