[15:32:42.004][4071.92, 4079.43, 4330.66, 4695.62, 3818.3, 3878.65][4079, 4077, 4078, 4075, 4014, 3564, 4075, 4066, 3319, 3919, 2001, 2111, 3805, 3387, 2329, 2816]
[15:32:42.540][4088.13, 4076.27, 4326.28, 4688.5, 3811.2, 3875.46][4083, 4078, 4077, 4075, 4025, 3562, 4079, 4065, 3318, 3911, 2003, 2268, 3525, 3452, 2328, 2816]
[15:32:43.086][4066.43, 4094.42, 4332.21, 4687.99, 3805.15, 3887.32][4078, 4078, 4075, 4075, 3988, 3564, 4079, 4046, 3317, 3893, 2003, 2239, 3531, 3416, 2310, 2816]
[15:32:43.637][4081.75, 4095.85, 4327.65, 4681.49, 3806.5, 3881.78][4078, 4076, 4076, 4079, 3991, 3547, 4074, 4061, 3316, 3915, 2017, 2119, 3627, 3687, 2331, 2816]
[15:32:44.174][4093.02, 4078.98, 4327.47, 4688.73, 3810.67, 3873.01][4075, 4071, 4075, 4069, 3997, 3563, 4071, 4072, 3320, 3929, 2025, 2149, 3647, 3726, 2363, 2816]
[15:32:44.713][4086.31, 4098.68, 4312.3, 4684.17, 3811.8, 3864.55][4075, 4076, 4076, 4077, 3991, 3563, 4073, 4095, 3317, 3949, 1983, 2158, 3623, 3643, 2381, 2816]
[15:32:45.271][4079.6, 4103.27, 4331.49, 4680.66, 3807.45, 3894.47][4076, 4076, 4075, 4076, 3997, 3561, 4072, 3851, 3571, 3947, 1948, 2185, 3554, 3453, 2327, 2816]
[15:32:45.795][4077.76, 4076.5, 4331.76, 4687.51, 3815.56, 3867.59][4076, 4078, 4077, 4075, 4007, 3563, 4075, 4067, 3317, 3928, 1997, 2235, 3548, 3417, 2333, 2816]
[15:32:46.334][4081.57, 4080.92, 4327.89, 4688.85, 3810.16, 3878.17][4076, 4078, 4077, 4075, 4023, 3561, 4073, 4078, 3317, 3956, 2043, 2119, 3643, 3671, 2557, 2560]
[15:32:46.875][4067.12, 4102.61, 4326.61, 4686.59, 3814.39, 3874.83][4076, 4079, 4076, 4071, 4019, 3560, 4075, 4076, 3315, 3940, 2047, 2135, 3621, 3673, 2319, 2816]
[15:32:47.413][4089.11, 4079.75, 4334.62, 4682.83, 3816.69, 3878.5][4077, 4077, 4075, 4075, 4013, 3563, 4076, 4083, 3317, 3940, 2043, 2075, 3828, 3431, 2367, 2816]
[15:32:47.953][4089.89, 4104.31, 4315.25, 4693.26, 3806.79, 3883.53][4079, 4085, 4079, 4073, 4021, 3562, 4077, 4083, 3316, 3944, 2007, 2069, 3815, 3385, 2325, 2816]
[15:32:48.506][4086.88, 4080.32, 4318.68, 4685.52, 3827.51, 3871.55][4075, 4077, 4077, 4076, 3997, 3561, 4075, 4053, 3317, 3940, 1959, 2261, 3339, 3725, 2315, 2816]
[15:32:49.045][4093.67, 4077.4, 4337.33, 4680.9, 3833.76, 3875.64][4076, 4077, 4077, 4072, 4013, 3561, 4075, 4055, 3318, 3931, 1959, 2275, 3354, 3722, 2548, 2560]
[15:32:49.583][4080.5, 4079.99, 4324.13, 4675.8, 3817.88, 3879.45][4076, 4075, 4074, 4075, 3989, 3563, 4075, 4045, 3312, 3917, 1984, 2251, 3365, 3688, 2525, 2560]
[15:32:50.118][4085.86, 4092.09, 4327.83, 4678.81, 3804.26, 3871.94][4075, 4077, 4077, 4073, 3979, 3562, 4079, 4072, 3315, 3891, 1990, 2228, 3352, 3722, 2547, 2560]
[15:32:50.672][4079.19, 4080.44, 4332.09, 4671.6, 3805.72, 3869.47][4074, 4077, 4075, 4071, 3986, 3561, 4075, 4085, 3315, 3881, 2005, 2066, 3835, 3464, 2313, 2816]
[15:32:51.210][4085.86, 4081.66, 4333.4, 4688.17, 3817.58, 3868.57][4075, 4073, 4075, 4075, 4023, 3563, 4075, 4087, 3315, 3877, 1945, 2296, 3533, 3415, 2333, 2816]
[15:32:51.750][4075.4, 4081.18, 4329.08, 4699.43, 3822.26, 3883.53][4077, 4076, 4077, 4074, 4054, 3560, 4076, 4069, 3315, 3883, 1931, 2105, 3821, 3494, 2321, 2816]
[15:32:52.292][4076.24, 4110.09, 4323.69, 4689.42, 3813.62, 3873.73][4078, 4075, 4076, 4077, 4027, 3560, 4075, 4079, 3316, 3887, 1948, 2262, 3541, 3385, 2326, 2816]
[15:32:52.816][4071.47, 4098.68, 4332.03, 4677.35, 3811.56, 3877.84][4076, 4072, 4077, 4072, 4053, 3565, 4073, 4061, 3315, 3903, 1997, 2275, 3355, 3811, 2381, 2816]
[15:32:53.373][4085.3, 4091.7, 4322.08, 4683.82, 3817.25, 3870.66][4077, 4076, 4072, 4075, 4056, 3562, 4076, 4072, 3317, 3911, 1992, 2246, 3335, 3807, 2445, 2816]
