[14:54:07.486][4516.95, 4511.11, 5062.51, 4944.38, 4139.89, 4375.93][4077, 4076, 3867, 3354, 2799, 2542, 4077, 3797, 1065, 615, 2291, 3932, 3320, 4043, 1343, 1792]
[14:54:07.993][4518.44, 4504.17, 5072.02, 4954.27, 4138.94, 4357.54][4076, 4077, 3871, 3363, 2803, 2538, 4085, 3795, 1067, 586, 2293, 3894, 3319, 4029, 1320, 1792]
[14:54:08.533][4520.02, 4525.57, 5065.17, 4942.8, 4139.51, 4382.96][4077, 4077, 3861, 3360, 2795, 2540, 4086, 3794, 1067, 571, 2293, 3891, 3320, 3989, 1332, 1792]
[14:54:09.084][4515.91, 4508.55, 5050.06, 4952.1, 4133.99, 4378.52][4075, 4076, 3859, 3379, 2791, 2537, 4075, 3789, 1069, 629, 2292, 3887, 3317, 4078, 1340, 1792]
[14:54:09.623][4526.04, 4510.99, 5075.57, 4952.6, 4127.59, 4364.84][4074, 4076, 3869, 3379, 2799, 2535, 4079, 3786, 1070, 587, 2295, 3893, 3311, 4046, 1319, 1792]
[14:54:10.162][4519.04, 4517.25, 5059.74, 4949.27, 4137.09, 4366.72][4077, 4077, 3887, 3363, 2805, 2539, 4079, 3787, 1067, 559, 2292, 3895, 3315, 3995, 1320, 1792]
[14:54:10.699][4524.2, 4503.72, 5067.55, 4947.81, 4138.94, 4372.74][4076, 4076, 3879, 3386, 2792, 2539, 4079, 3799, 1061, 711, 2287, 3899, 3312, 3993, 1331, 1792]
[14:54:11.238][4518.95, 4513.23, 5060.37, 4941.43, 4137.21, 4381.0][4074, 4078, 3869, 3373, 2791, 2538, 4077, 3805, 1059, 523, 2543, 3878, 3318, 4068, 1336, 1792]
[14:54:11.791][4522.35, 4511.23, 5064.45, 4953.5, 4139.21, 4367.43][4077, 4077, 3868, 3374, 2783, 2537, 4079, 3805, 1060, 757, 2293, 3892, 3315, 4070, 1305, 1792]
[14:54:12.333][4515.82, 4515.28, 5068.27, 4940.35, 4136.5, 4367.2][4077, 4077, 3864, 3370, 2781, 2537, 4094, 3809, 1060, 727, 2293, 3898, 3312, 3994, 1325, 1792]
[14:54:12.889][4508.01, 4521.54, 5066.06, 4957.46, 4134.86, 4361.8][4072, 4076, 4095, 3119, 2781, 2536, 3846, 4062, 1059, 718, 2293, 3903, 3319, 3859, 1589, 1792]
[14:54:13.399][4516.66, 4508.46, 5069.55, 4955.61, 4138.4, 4371.91][4075, 4079, 3855, 3364, 2779, 2540, 4092, 3799, 1055, 623, 2295, 3879, 3319, 4061, 1315, 1792]
[14:54:13.956][4527.32, 4504.64, 5065.85, 4938.27, 4138.23, 4382.46][4077, 4075, 3875, 3355, 2781, 2536, 4090, 3797, 1057, 628, 2291, 3857, 3317, 4013, 1311, 1792]
[14:54:14.499][4526.01, 4513.38, 5055.81, 4957.97, 4142.19, 4386.06][4075, 4078, 3869, 3367, 2783, 2536, 4077, 3801, 1055, 615, 2293, 3865, 3317, 3993, 1304, 1792]
[14:54:15.038][4530.22, 4507.65, 5055.78, 4934.1, 4141.32, 4381.5][4077, 4075, 3869, 3380, 2779, 2539, 4076, 3805, 1055, 613, 2288, 3861, 3317, 3999, 1287, 1792]
[14:54:15.589][4521.96, 4505.0, 5067.16, 4940.3, 4137.96, 4383.56][4075, 4075, 3861, 3360, 2788, 2540, 4079, 3807, 1055, 624, 2295, 4073, 3061, 3987, 1530, 1536]
[14:54:16.115][4510.34, 4506.46, 5054.94, 4940.21, 4139.69, 4371.1][4076, 4074, 3847, 3357, 2787, 2538, 4070, 3803, 1059, 621, 2295, 3877, 3317, 3962, 1523, 1536]
[14:54:16.655][4528.07, 4511.23, 5064.66, 4939.19, 4139.69, 4381.98][4076, 4073, 3848, 3338, 2787, 2538, 4071, 3801, 1064, 639, 2289, 3883, 3317, 3955, 1295, 1792]
